,ATPfrac = 0.6
0,28.319930000000014
1,33.073999999999984
2,30.707400000000007
3,27.342100000000016
4,31.800599999999974
5,31.66640000000004
6,26.953399999999988
7,29.72289999999998
8,30.180799999999977
9,26.92240000000004
10,29.1644
11,30.194799999999987
12,31.237900000000025
13,28.479600000000005
14,25.409999999999968
15,30.624000000000024
16,30.26329999999996
17,34.3972
18,23.428999999999974
19,33.829000000000065
20,29.171899999999937
21,32.98030000000006
22,31.26329999999996
23,29.602100000000064
24,29.901399999999967
25,29.176900000000046
26,33.02119999999991
27,30.17100000000005
28,31.67330000000004
29,32.81079999999997
30,28.115999999999985
31,27.931999999999903
32,27.787000000000035
33,28.90300000000002
34,30.87000000000012
35,33.73699999999985
36,30.567999999999984
37,26.126999999999953
38,29.021000000000186
39,29.913999999999987
40,30.104000000000042
41,30.50499999999988
42,31.748000000000047
43,28.557000000000016
44,28.894000000000005
45,27.161000000000058
46,31.435999999999922
47,32.32300000000009
48,33.16599999999994
49,29.460000000000036
50,30.575000000000045
51,27.25499999999988
52,26.701000000000022
53,32.011999999999944
54,28.86200000000008
55,26.131999999999834
56,29.164240000000007
57,25.89649999999999
58,30.911599999999993
59,29.918800000000005
60,33.460200000000015
61,27.129999999999995
62,26.897699999999986
63,28.427200000000028
64,28.38119999999998
65,33.331200000000024
66,24.82099999999997
67,24.297900000000027
68,27.012900000000002
69,30.32299999999998
70,29.300700000000006
71,27.768899999999974
72,28.821199999999976
73,24.697000000000003
74,29.5861000000001
75,29.899900000000002
76,27.404699999999934
77,28.38009999999997
78,24.841600000000085
79,28.698299999999904
80,26.017600000000016
81,25.81370000000004
82,28.630999999999972
83,29.175500000000056
84,30.968700000000013
85,32.58529999999996
86,26.0711
87,30.211900000000014
88,29.570699999999988
89,29.386999999999944
90,29.973999999999933
91,29.432000000000244
92,26.940999999999804
93,29.28300000000013
94,24.66899999999987
95,23.073000000000093
96,30.802999999999884
97,29.045000000000073
98,29.648999999999887
99,35.034000000000106
100,30.951000000000022
101,29.5
102,29.169999999999845
103,29.621000000000095
104,29.83100000000013
105,22.875
106,23.96199999999976
107,29.0
108,29.388000000000147
109,31.904999999999973
110,26.58600000000024
111,27.148999999999887
112,30.170000000000073
113,29.579999999999927
114,31.287999999999784
115,26.518000000000256
116,30.17903000000001
117,28.5591
118,27.402500000000003
119,29.855999999999995
120,32.323800000000006
121,26.5051
122,29.42949999999999
123,29.96719999999999
124,27.551600000000008
125,33.53890000000001
126,29.07679999999999
127,28.989700000000028
128,32.667899999999975
129,28.311699999999973
130,31.01429999999999
131,31.76240000000007
132,29.274400000000014
133,29.684999999999945
134,26.20889999999997
135,27.28690000000006
136,26.755800000000022
137,24.216099999999983
138,29.309999999999945
139,27.21760000000006
140,31.458799999999997
141,27.320999999999913
142,32.29860000000008
143,30.64440000000002
144,33.452699999999936
145,29.306500000000028
146,30.447099999999978
147,32.89230000000009
148,29.670000000000073
149,28.02099999999973
150,32.583000000000084
151,28.926999999999907
152,28.309000000000196
153,27.932000000000016
154,32.27999999999997
155,28.708000000000084
156,27.930999999999813
157,27.52800000000002
158,27.605000000000018
159,30.5150000000001
160,22.865999999999985
161,28.092999999999847
162,28.67899999999986
163,28.582000000000107
164,31.07600000000025
165,30.042999999999893
166,30.656999999999925
167,25.776000000000067
168,30.26599999999985
169,29.611000000000104
170,28.743999999999915
171,27.939000000000306
172,25.16899999999987
173,24.68884
174,32.85030000000002
175,27.395899999999983
176,28.86609999999999
177,33.55370000000002
178,30.18459999999999
179,32.32370000000003
180,27.49849999999998
181,28.630299999999977
182,29.777500000000032
183,31.74539999999996
184,29.160300000000007
185,31.05000000000001
186,29.793800000000033
187,30.55310000000003
188,26.860399999999913
189,30.618299999999977
190,24.300200000000018
191,26.81110000000001
192,32.49020000000007
193,31.24389999999994
194,29.882100000000037
195,29.148399999999924
196,29.687900000000013
197,27.72950000000003
198,27.833600000000047
199,29.317000000000007
200,28.579999999999927
201,29.26660000000004
202,29.714200000000005
203,31.67859999999996
204,31.204700000000003
205,29.335000000000036
206,29.4079999999999
207,32.162000000000035
208,30.16300000000001
209,30.798000000000002
210,30.468000000000075
211,30.74499999999989
212,30.858000000000175
213,25.451999999999998
214,28.646999999999935
215,28.617999999999938
216,30.454999999999927
217,28.381000000000085
218,30.733000000000175
219,28.319999999999936
220,26.309999999999945
221,26.45900000000006
222,27.97299999999973
223,26.129000000000133
224,27.73700000000008
225,25.214999999999918
226,28.416000000000167
227,27.20199999999977
228,27.62200000000007
229,32.33999999999992
230,31.83100000000013
