,ATPfrac = 0.892720493278
0,28.401309999999995
1,28.32005000000001
2,28.05359999999999
3,27.014100000000013
4,27.61839999999998
5,30.75540000000001
6,29.03049999999999
7,27.34480000000002
8,29.220500000000015
9,28.566100000000006
10,28.84899999999999
11,30.83850000000001
12,29.899
13,27.049599999999998
14,26.739599999999996
15,26.871699999999976
16,28.779800000000023
17,28.021099999999933
18,31.65039999999999
19,27.897300000000087
20,30.570899999999938
21,27.70240000000001
22,31.581000000000017
23,30.339500000000044
24,28.483799999999974
25,28.692000000000007
26,28.069499999999948
27,28.493000000000052
28,27.546100000000024
29,27.76419999999996
30,25.318200000000047
31,30.36719999999991
32,28.232139999999987
33,28.76763000000001
34,28.2295
35,28.423599999999993
36,30.32480000000001
37,28.866899999999987
38,28.806600000000003
39,31.516700000000014
40,29.24169999999998
41,27.888599999999997
42,28.703300000000013
43,29.275800000000004
44,29.790999999999997
45,27.729100000000017
46,27.692000000000007
47,29.143399999999986
48,27.28290000000004
49,27.926199999999994
50,29.671899999999937
51,28.43820000000005
52,29.72479999999996
53,29.82420000000002
54,30.23509999999999
55,28.576000000000022
56,29.483099999999922
57,28.66820000000007
58,27.39300000000003
59,29.329099999999926
60,30.28480000000002
61,30.039999999999964
62,26.016900000000078
63,27.505800000000022
64,26.832599999999843
65,29.74834
66,29.830790000000007
67,27.621399999999994
68,27.921899999999994
69,28.89330000000001
70,29.05959999999999
71,28.962700000000012
72,29.037800000000004
73,27.498899999999992
74,31.948800000000006
75,27.752700000000004
76,29.304300000000012
77,28.222399999999993
78,27.267799999999966
79,28.926900000000046
80,27.973400000000026
81,29.977499999999964
82,29.841499999999996
83,29.59489999999994
84,28.551300000000083
85,27.80269999999996
86,30.0856
87,27.93979999999999
88,27.340100000000007
89,28.567499999999995
90,29.904999999999973
91,28.010400000000004
92,29.77449999999999
93,30.688000000000102
94,29.878299999999967
95,27.344100000000026
96,30.71429999999998
97,28.32338
98,29.215450000000004
99,28.497100000000003
100,24.7183
101,28.206999999999994
102,32.422
103,29.84280000000001
104,31.32499999999999
105,27.499900000000025
106,28.815099999999973
107,29.20870000000002
108,28.071500000000015
109,29.51849999999996
110,29.965599999999995
111,28.859500000000025
112,27.78359999999998
113,28.578100000000063
114,28.210399999999936
115,28.859699999999975
116,30.018300000000067
117,27.87360000000001
118,26.144900000000007
119,29.18279999999993
120,30.931699999999978
121,28.16420000000005
122,28.162400000000048
123,28.508499999999913
124,28.231300000000033
125,24.69399999999996
126,29.576999999999998
127,27.436000000000035
