,ATPfrac = 0.814365036198
0,31.418090000000007
1,30.742400000000004
2,28.932599999999994
3,27.711600000000004
4,29.683400000000006
5,28.11499999999998
6,27.4966
7,29.144299999999987
8,29.039500000000032
9,27.857500000000016
10,30.134500000000003
11,25.41289999999998
12,28.938199999999995
13,26.629399999999976
14,27.24520000000001
15,28.437100000000044
16,28.931600000000003
17,29.334299999999985
18,28.386300000000006
19,28.439599999999928
20,31.958000000000084
21,28.255899999999997
22,29.126499999999965
23,29.33159999999998
24,27.465000000000032
25,28.77539999999999
26,33.92330000000004
27,31.13040000000001
28,29.833699999999908
29,26.35940000000005
30,27.751499999999965
31,29.70220000000006
32,29.729600000000005
33,29.049999999999955
34,27.646999999999935
35,25.70219
36,28.56536
37,28.97460000000001
38,29.751800000000003
39,31.5146
40,27.912799999999976
41,31.024599999999992
42,26.3365
43,27.278099999999995
44,31.6533
45,29.80200000000002
46,25.967600000000004
47,32.41149999999999
48,27.64640000000003
49,29.09099999999995
50,28.845000000000084
51,31.126199999999926
52,24.42560000000003
53,26.061399999999935
54,29.405200000000036
55,29.165300000000002
56,27.752399999999966
57,30.94850000000008
58,29.270999999999958
59,27.382299999999987
60,29.85820000000001
61,30.274
62,30.300200000000018
63,27.090400000000045
64,33.286899999999946
65,29.027799999999957
66,27.37510000000009
67,27.729100000000017
68,27.463999999999828
69,29.96423
70,28.11160000000001
71,26.70489999999998
72,29.698500000000024
73,30.98479999999998
74,29.588300000000004
75,27.399299999999982
76,28.16930000000002
77,28.21969999999999
78,27.299000000000035
79,30.462099999999964
80,27.27510000000001
81,28.668600000000026
82,28.938699999999983
83,27.10699999999997
84,29.099100000000078
85,28.143499999999904
86,31.29920000000004
87,31.439100000000053
88,27.71799999999996
89,27.80589999999995
90,30.076000000000022
91,29.221499999999992
92,32.550500000000056
93,31.30919999999992
94,28.695600000000013
95,33.29309999999998
96,29.639499999999998
97,30.36710000000005
98,27.81370000000004
99,29.18419999999992
100,28.89390000000003
101,27.600799999999936
102,26.059000000000083
103,28.69834000000001
104,29.17680999999999
105,26.489599999999996
106,30.830100000000016
107,30.010599999999982
108,29.323700000000002
109,30.61960000000002
110,27.602599999999995
111,29.350799999999992
112,30.9058
113,30.115700000000004
114,31.190699999999993
115,26.304599999999994
116,28.65390000000002
117,27.99399999999997
118,29.773199999999974
119,30.055400000000077
120,29.62009999999998
121,30.318199999999933
122,27.335000000000036
123,27.680200000000013
124,33.33349999999996
125,28.8112000000001
126,25.8685999999999
127,27.292599999999993
128,28.705400000000054
129,27.681500000000028
130,27.829899999999952
131,28.987700000000018
132,30.022500000000036
133,31.105299999999943
134,27.90160000000003
135,28.7106
136,29.428999999999974
137,26.71199999999999
138,28.51867
139,27.732730000000004
140,26.333299999999994
141,27.1036
142,28.062399999999997
143,28.547699999999992
144,30.436200000000014
145,28.934900000000027
146,30.660499999999956
147,27.609500000000025
148,30.397099999999966
149,27.76230000000004
150,28.31129999999996
151,30.037800000000004
152,29.336100000000044
153,29.92259999999993
154,31.160799999999995
155,29.76920000000007
156,29.27789999999993
157,29.4756000000001
158,30.736099999999965
159,31.20640000000003
160,29.058899999999994
161,28.328499999999963
162,31.682000000000016
163,29.857899999999972
164,29.08680000000004
165,30.276299999999992
166,26.656999999999925
167,31.87740000000008
168,28.454099999999926
169,29.262300000000096
170,30.070699999999874
171,31.47499999999991
172,28.04941999999999
173,27.65849
174,27.060199999999995
175,31.48610000000002
176,27.089
177,27.874599999999987
178,27.67580000000001
179,31.306699999999978
180,31.286900000000003
181,30.50600000000003
182,30.65799999999996
183,27.996800000000007
184,29.97120000000001
185,28.707600000000014
186,28.185699999999997
187,28.722099999999955
188,26.284500000000094
189,27.15599999999995
190,30.729299999999967
191,30.583200000000033
192,28.137200000000007
193,28.85239999999999
194,30.114400000000046
195,28.022899999999936
196,30.267299999999977
197,29.857799999999997
198,28.903200000000083
199,30.74899999999991
200,28.537500000000023
201,31.951700000000073
202,27.91249999999991
203,30.25840000000005
204,28.694699999999898
205,28.308000000000106
206,29.064559999999993
207,28.772580000000005
208,27.269700000000014
209,27.94889999999998
210,29.502200000000016
211,29.38409999999999
212,27.67380000000003
213,31.163399999999967
214,26.898900000000026
215,28.65459999999996
216,28.336600000000033
217,29.15949999999998
218,29.69749999999999
219,31.342700000000036
220,29.803999999999974
221,30.49290000000002
222,31.749500000000012
223,29.685499999999934
224,29.799300000000017
225,29.443399999999997
226,27.623199999999997
227,27.23810000000003
228,30.737799999999993
229,28.184399999999982
230,30.634900000000016
231,30.405700000000024
232,27.245599999999968
233,29.854299999999967
234,28.505700000000047
235,28.781100000000038
236,27.69920000000002
237,28.7512999999999
238,27.959600000000137
239,28.053999999999974
240,30.274999999999864
241,30.0422
242,27.773110000000003
243,29.642099999999985
244,30.389400000000023
245,30.156999999999982
246,28.955100000000016
247,31.73169999999996
248,30.267900000000054
249,27.286399999999958
250,30.899400000000014
251,30.36500000000001
252,27.908399999999972
253,29.941200000000038
254,28.060599999999965
255,31.07510000000002
256,29.01430000000005
257,27.679399999999987
258,28.83549999999991
259,29.574500000000057
260,29.59979999999996
261,28.65510000000006
262,28.359500000000025
263,28.72479999999996
264,27.043000000000006
265,30.033199999999965
266,29.706999999999994
267,27.672700000000077
268,29.71799999999996
269,30.50980000000004
270,30.637199999999893
271,29.253600000000006
272,29.4448000000001
273,28.540099999999825
274,28.084000000000287
275,26.226599999999998
276,25.731160000000003
277,30.75760000000001
278,27.23059999999998
279,28.083699999999993
280,29.518400000000014
281,30.971100000000007
282,31.250699999999995
283,26.575800000000015
284,28.457899999999995
285,29.093799999999987
286,26.483900000000006
287,30.28570000000002
288,31.581099999999992
289,29.02969999999999
290,28.14870000000002
291,29.29359999999997
292,26.973299999999995
293,27.805200000000013
294,26.84050000000002
295,29.709699999999998
296,28.046100000000024
297,29.507499999999936
298,27.159200000000055
299,29.60859999999991
300,29.989400000000046
301,29.84400000000005
302,29.14659999999992
303,29.55180000000007
304,25.98249999999996
305,28.168499999999995
306,27.124900000000025
307,26.82319999999993
308,30.824000000000183
309,29.533999999999878
310,31.413529999999987
311,28.500640000000004
312,30.896599999999992
313,27.837199999999996
314,29.18900000000002
315,27.38549999999998
316,27.199299999999994
317,26.62900000000002
318,31.23509999999999
319,28.215900000000033
320,24.442499999999995
321,28.50309999999996
322,27.833500000000015
323,31.095399999999984
324,32.57140000000004
325,28.09480000000002
326,27.804599999999937
327,28.314399999999978
328,31.915500000000065
329,28.842599999999948
330,31.47230000000002
331,32.09379999999999
332,30.365800000000036
333,29.52080000000001
334,26.210699999999974
335,31.069200000000023
